dosef,energy,natom,mass,fmax,smax,hform,volume,gap_nosoc,gap
0.0,-19.13974386,4,118.083077,0.004727138,0.000249699,-0.876935965,221.1478053,2.141968952,2.141717836
0.0,-17.28738867,4,211.905077,0.002977685,8.36e-05,-0.711347169,247.8311533,2.145828544,2.137821953
0.0,-15.37792102,4,309.163077,0.008740903,6.73e-05,-0.372980256,307.6865084,2.065176689,1.954232529
0.0,-16.60135861,4,203.566,0.007972952,6.38e-05,-0.659839651,240.8462193,2.180920665,2.179787927
0.0,-15.1625699,4,297.388,0.003339913,9.5e-05,-0.597642475,265.0525064,1.657274695,1.643826053
0.0,-13.6879044,4,394.646,0.003300117,9.37e-05,-0.367976099,310.1221266,1.384565951,1.269094545
0.0,-15.89044833,4,293.756,0.003403042,0.000104124,-0.552112082,268.3120478,1.605334898,1.603945751
0.0,-14.62868328,4,387.578,0.006090629,6.09e-05,-0.534170819,294.1298602,1.340027419,1.321066062
0.0,-13.32286925,4,484.836,0.004256627,5.95e-05,-0.346717312,341.7370233,1.266085773,1.14445243
0.0,-16.36190026,3,125.838044,0.004656443,0.000129702,-1.024966753,281.449211,2.02962255,2.024827411
0.0,-15.1359014,3,214.746044,0.006831217,9.15e-05,-0.749633801,308.7155039,1.874314444,1.775286331
0.0,-5.979260336,3,319.18894,0.009146994,8.44e-05,-0.613086779,333.7321951,2.673301956,2.431688075
0.0,-13.56495259,3,136.75,0.00828356,5.22e-05,-0.297650863,224.7920129,1.344546749,1.344472358
0.0,-10.0871019,3,143.53,0.001646488,3.87e-05,-0.667033968,342.2970882,1.377384535,1.373051228
0.0,-8.101560652,3,326.43894,0.003219911,5.69e-05,-0.209853551,400.4037605,1.286497238,1.011400907
0.0,-13.5490172,3,110.6268063,0.007327131,0.001554579,-1.953005732,259.8657693,1.601453424,1.598830773
0.0,-9.100960911,3,232.438,0.008024479,6.87e-05,-0.471653637,362.4931875,1.368066486,1.30191286
0.0,-18.06536047,3,111.987,0.002653425,0.000209079,-1.073120158,253.3699272,1.285334644,1.266108473
